"file_name","start_hour","start_time","rms_spl","file_datetime","datetime_utc"
"6875.230620010000.wav",0,15,124.474266242768,2023-06-20 01:00:00,2023-06-20 01:15:00
"6875.230620010000.wav",0,45,123.515537360723,2023-06-20 01:00:00,2023-06-20 01:45:00
"6875.230620010000.wav",1,15,123.370967082809,2023-06-20 01:00:00,2023-06-20 02:15:00
"6875.230620010000.wav",1,45,124.269073326054,2023-06-20 01:00:00,2023-06-20 02:45:00
"6875.230620010000.wav",2,15,123.580850951313,2023-06-20 01:00:00,2023-06-20 03:15:00
"6875.230620010000.wav",2,45,123.833403731283,2023-06-20 01:00:00,2023-06-20 03:45:00
"6875.230620010000.wav",3,15,123.457506235595,2023-06-20 01:00:00,2023-06-20 04:15:00
"6875.230620010000.wav",3,45,123.033818270489,2023-06-20 01:00:00,2023-06-20 04:45:00
"6875.230620010000.wav",4,15,124.257021454477,2023-06-20 01:00:00,2023-06-20 05:15:00
"6875.230620010000.wav",4,45,123.710380564989,2023-06-20 01:00:00,2023-06-20 05:45:00
"6875.230620010000.wav",5,15,123.765367398948,2023-06-20 01:00:00,2023-06-20 06:15:00
"6875.230620010000.wav",5,45,123.837667548804,2023-06-20 01:00:00,2023-06-20 06:45:00
"6875.230620010000.wav",6,15,124.250845109735,2023-06-20 01:00:00,2023-06-20 07:15:00
"6875.230620010000.wav",6,45,123.799196834445,2023-06-20 01:00:00,2023-06-20 07:45:00
"6875.230620010000.wav",7,15,124.847339288285,2023-06-20 01:00:00,2023-06-20 08:15:00
"6875.230620010000.wav",7,45,125.25349586134,2023-06-20 01:00:00,2023-06-20 08:45:00
"6875.230620010000.wav",8,15,124.897267244545,2023-06-20 01:00:00,2023-06-20 09:15:00
"6875.230620010000.wav",8,45,124.213907868578,2023-06-20 01:00:00,2023-06-20 09:45:00
"6875.230620010000.wav",9,15,124.242954545418,2023-06-20 01:00:00,2023-06-20 10:15:00
"6875.230620010000.wav",9,45,128.809131138178,2023-06-20 01:00:00,2023-06-20 10:45:00
"6875.230620010000.wav",10,15,124.295105137204,2023-06-20 01:00:00,2023-06-20 11:15:00
"6875.230620010000.wav",10,45,124.552109218429,2023-06-20 01:00:00,2023-06-20 11:45:00
"6875.230620010000.wav",11,15,124.543449144843,2023-06-20 01:00:00,2023-06-20 12:15:00
"6875.230620010000.wav",11,45,124.010792777935,2023-06-20 01:00:00,2023-06-20 12:45:00
"6875.230620125957.wav",0,15,124.123295443138,2023-06-20 12:59:57,2023-06-20 13:14:57
"6875.230620125957.wav",0,45,137.481657526532,2023-06-20 12:59:57,2023-06-20 13:44:57
"6875.230620125957.wav",1,15,139.465761461904,2023-06-20 12:59:57,2023-06-20 14:14:57
"6875.230620125957.wav",1,45,140.891819142483,2023-06-20 12:59:57,2023-06-20 14:44:57
"6875.230620125957.wav",2,15,140.189804525478,2023-06-20 12:59:57,2023-06-20 15:14:57
"6875.230620125957.wav",2,45,124.854934272074,2023-06-20 12:59:57,2023-06-20 15:44:57
"6875.230620125957.wav",3,15,124.696595241769,2023-06-20 12:59:57,2023-06-20 16:14:57
"6875.230620125957.wav",3,45,124.727590966693,2023-06-20 12:59:57,2023-06-20 16:44:57
"6875.230620125957.wav",4,15,124.985894920419,2023-06-20 12:59:57,2023-06-20 17:14:57
"6875.230620125957.wav",4,45,124.852867650599,2023-06-20 12:59:57,2023-06-20 17:44:57
"6875.230620125957.wav",5,15,124.96459288743,2023-06-20 12:59:57,2023-06-20 18:14:57
"6875.230620125957.wav",5,45,123.398522374416,2023-06-20 12:59:57,2023-06-20 18:44:57
"6875.230620125957.wav",6,15,123.141165038115,2023-06-20 12:59:57,2023-06-20 19:14:57
"6875.230620125957.wav",6,45,123.368100506823,2023-06-20 12:59:57,2023-06-20 19:44:57
"6875.230620125957.wav",7,15,124.478058222286,2023-06-20 12:59:57,2023-06-20 20:14:57
"6875.230620125957.wav",7,45,123.065503192992,2023-06-20 12:59:57,2023-06-20 20:44:57
"6875.230620125957.wav",8,15,123.35293736506,2023-06-20 12:59:57,2023-06-20 21:14:57
"6875.230620125957.wav",8,45,124.004115477914,2023-06-20 12:59:57,2023-06-20 21:44:57
"6875.230620125957.wav",9,15,126.151364365809,2023-06-20 12:59:57,2023-06-20 22:14:57
"6875.230620125957.wav",9,45,126.690338080215,2023-06-20 12:59:57,2023-06-20 22:44:57
"6875.230620125957.wav",10,15,122.84648367295,2023-06-20 12:59:57,2023-06-20 23:14:57
"6875.230620125957.wav",10,45,123.63961672379,2023-06-20 12:59:57,2023-06-20 23:44:57
"6875.230621005951.wav",0,15,123.434048516621,2023-06-21 00:59:51,2023-06-21 01:14:51
"6875.230621005951.wav",0,45,121.158398208969,2023-06-21 00:59:51,2023-06-21 01:44:51
"6875.230621005951.wav",1,15,121.929007242995,2023-06-21 00:59:51,2023-06-21 02:14:51
"6875.230621005951.wav",1,45,122.115270458247,2023-06-21 00:59:51,2023-06-21 02:44:51
"6875.230621005951.wav",2,15,121.438380186642,2023-06-21 00:59:51,2023-06-21 03:14:51
"6875.230621005951.wav",2,45,121.485420626239,2023-06-21 00:59:51,2023-06-21 03:44:51
"6875.230621005951.wav",3,15,121.632685961974,2023-06-21 00:59:51,2023-06-21 04:14:51
"6875.230621005951.wav",3,45,121.632562751841,2023-06-21 00:59:51,2023-06-21 04:44:51
"6875.230621005951.wav",4,15,122.055092525525,2023-06-21 00:59:51,2023-06-21 05:14:51
